"COMPANY NAME","SECURITY TYPE","ISSUE PRICE","Symbol","ISSUE START DATE","ISSUE END DATE","PRICE RANGE","DATE OF LISTING"
"Refractory Shapes Limited","SME","31","REFRACTORY","06-MAY-2024","09-MAY-2024","Rs.27 to Rs.31","14-MAY-2024"
"Winsol Engineers Limited","SME","75","WINSOL","06-MAY-2024","09-MAY-2024","Rs.71 to Rs.75","14-MAY-2024"
"Slone Infosystems Limited","SME","79","SLONE","03-MAY-2024","07-MAY-2024","Rs.79","10-MAY-2024"
"JNK India Limited","EQ","   415","JNKINDIA","23-APR-2024","25-APR-2024","Rs.395 to Rs.415","30-APR-2024"
"Motilal Oswal Financial Services Limited","N7","  1000","97MOFSL34","23-APR-2024","03-MAY-2024","Rs.1000","13-MAY-2024"
"Vodafone Idea Limited - FPO","EQ","-","IDEAFPO","18-APR-2024","22-APR-2024","Rs.10 to Rs.11","25-APR-2024"
"Grill Splendour Services Limited","SME","120","BIRDYS","15-APR-2024","18-APR-2024","Rs.120","23-APR-2024"
"Ramdevbaba Solvent Limited","SME","85","RBS","15-APR-2024","18-APR-2024","Rs.80 to Rs.85","23-APR-2024"
"Teerth Gopicon Limited","SME","111","TGL","08-APR-2024","10-APR-2024","Rs.111","16-APR-2024"
"DCG Cables & Wires Limited","SME","100","DCG","08-APR-2024","10-APR-2024","Rs.100","16-APR-2024"
"Bharti Hexacom Limited","EQ","   570","BHARTIHEXA","03-APR-2024","05-APR-2024","Rs.542 to Rs.570","12-APR-2024"
"K2 Infragen Limited","SME","119","K2INFRA","28-MAR-2024","03-APR-2024","Rs.111 to Rs.119","08-APR-2024"
"Creative Graphics Solutions India Limited","SME","85","CGRAPHICS","28-MAR-2024","04-APR-2024","Rs.80 to Rs.85","09-APR-2024"
"Aluwind Architectural Limited","SME","45","ALUWIND","28-MAR-2024","04-APR-2024","Rs.45","09-APR-2024"
"Yash Optics and Lens Limited","SME","81","YASHOPTICS","27-MAR-2024","03-APR-2024","Rs.75 to Rs.81","08-APR-2024"
"Radiowalla Network Limited","SME","76","RADIOWALLA","27-MAR-2024","02-APR-2024","Rs.72 to Rs.76","05-APR-2024"
"TAC Infosec Limited","SME","106","TAC","27-MAR-2024","02-APR-2024","Rs.100 to Rs.106","05-APR-2024"
"SRM Contractors Limited","BE","   210","SRM","26-MAR-2024","28-MAR-2024","Rs.200 to Rs.210","03-APR-2024"
"Blue Pebble Limited","SME","168","BLUEPEBBLE","26-MAR-2024","28-MAR-2024","Rs.159 to Rs.168","03-APR-2024"
"Trust Fintech Limited","SME","101","TRUST","26-MAR-2024","28-MAR-2024","Rs.95 to Rs.101","04-APR-2024"
"Aspire and Innovative Advertising Limited","SME","54","ASPIRE","26-MAR-2024","28-MAR-2024","Rs.51 to Rs.54","03-APR-2024"
"Naman In-Store (India) Limited","SME","89","NAMAN","22-MAR-2024","27-MAR-2024","Rs.84 to Rs.89","02-APR-2024"
"Vishwas Agri Seeds Limited","SME","86","VISHWAS","21-MAR-2024","26-MAR-2024","Rs.86","01-APR-2024"
"Omfurn India Limited - FPO","SME","75","OMFURNFPO","20-MAR-2024","22-MAR-2024","Rs.71 to Rs.75","28-MAR-2024"
"Enser Communications Limited","SME","70","ENSER","15-MAR-2024","19-MAR-2024","Rs.70","22-MAR-2024"
"Enfuse Solutions Limited","SME","96","ENFUSE","15-MAR-2024","19-MAR-2024","Rs.91 to Rs.96","22-MAR-2024"
"Krystal Integrated Services Limited","EQ","   715","KRYSTAL","14-MAR-2024","18-MAR-2024","Rs.680 to Rs.715","21-MAR-2024"
"AVP Infracon Limited","SME","75","AVPINFRA","13-MAR-2024","15-MAR-2024","Rs.71 to Rs.75","20-MAR-2024"
"Popular Vehicles and Services Limited","EQ","   295","PVSL","12-MAR-2024","14-MAR-2024","Rs.280 to Rs.295","19-MAR-2024"
"Signoria Creation Limited","SME","65","SIGNORIA","12-MAR-2024","14-MAR-2024","Rs.61 to Rs.65","19-MAR-2024"
"Pratham EPC Projects Limited","SME","75","PRATHAM","11-MAR-2024","13-MAR-2024","Rs.71 to Rs.75","18-MAR-2024"
"Gopal Snacks Limited","EQ","   401","GOPAL","06-MAR-2024","11-MAR-2024","Rs.381 to Rs.401","14-MAR-2024"
"Shree Karni Fabcom Limited","SME","227","SHREEKARNI","06-MAR-2024","11-MAR-2024","Rs.220 to Rs.227","14-MAR-2024"
"J G Chemicals Limited","EQ","   221","JGCHEM","05-MAR-2024","07-MAR-2024","Rs.210 to Rs.221","13-MAR-2024"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","05-MAR-2024","19-MAR-2024","Rs.1000","09-APR-2024"
"Sona Machinery Limited","SME","143","SONAMAC","05-MAR-2024","07-MAR-2024","Rs.136 to Rs.143","13-MAR-2024"
"R K Swamy Limited","EQ","   288","RKSWAMY","04-MAR-2024","06-MAR-2024","Rs.270 to Rs.288","12-MAR-2024"
"V R Infraspace Limited","SME","85","VR","04-MAR-2024","06-MAR-2024","Rs.85","12-MAR-2024"
"Mukka Proteins Limited","BE","    28","MUKKA","29-FEB-2024","04-MAR-2024","Rs.26 to Rs.28","07-MAR-2024"
"M.V.K. Agro food product limited","SME","120","MVKAGRO","29-FEB-2024","04-MAR-2024","Rs.120","07-MAR-2024"
"Bharat Highways InvIT","IV","   100","BHINVIT","28-FEB-2024","01-MAR-2024","Rs.98 to Rs.100","12-MAR-2024"
"Exicom Telesystems Limited","EQ","   142","EXICOM","27-FEB-2024","29-FEB-2024","Rs.135 to Rs.142","05-MAR-2024"
"Platinum Industries Limited","BE","   171","PLATIND","27-FEB-2024","29-FEB-2024","Rs.162 to Rs.171","05-MAR-2024"
"Purv Flexipack Limited","SME","71","PURVFLEXI","27-FEB-2024","29-FEB-2024","Rs.70 to Rs.71","05-MAR-2024"
"Navi Finserv Limited","ND","  1000","NAVIFIN","26-FEB-2024","07-MAR-2024","Rs.1000","18-MAR-2024"
"Owais Metal and Mineral Processing Limited","SME","87","OWAIS","26-FEB-2024","28-FEB-2024","Rs.83 to Rs.87","04-MAR-2024"
"Sadhav Shipping Limited","SME","95","SADHAV","23-FEB-2024","27-FEB-2024","Rs.95","01-MAR-2024"
"GPT Healthcare Limited","EQ","   186","GPTHEALTH","22-FEB-2024","26-FEB-2024","Rs.177 to Rs.186","29-FEB-2024"
"Juniper Hotels Limited","EQ","   360","JUNIPER","21-FEB-2024","23-FEB-2024","Rs.342 to Rs.360","28-FEB-2024"
"Deem Roll-Tech Limited","SME","129","DEEM","20-FEB-2024","22-FEB-2024","Rs.129","27-FEB-2024"
"Zenith Drugs Limited","SME","79","ZENITHDRUG","19-FEB-2024","22-FEB-2024","Rs.75 to Rs.79","27-FEB-2024"
"Esconet Technologies Limited","SME","84","ESCONET","16-FEB-2024","20-FEB-2024","Rs.80 to Rs.84","23-FEB-2024"
"Kalahridhaan Trendz Limited","SME","10","KTL","15-FEB-2024","20-FEB-2024","Rs.45","23-FEB-2024"
"Thaai Casting Limited","SME","77","TCL","15-FEB-2024","20-FEB-2024","Rs.73 to Rs.77","23-FEB-2024"
"Atmastco Limited","SME","77","ATMASTCO","15-FEB-2024","20-FEB-2024","Rs.77","23-FEB-2024"
"Interiors & More Limited","SME","227","INM","15-FEB-2024","20-FEB-2024","Rs.216 to Rs.227","23-FEB-2024"
"Vibhor Steel Tubes Limited","BE","   151","VSTL","13-FEB-2024","15-FEB-2024","Rs.141 to Rs.151","20-FEB-2024"
"Wise Travel India Limited","SME","147","WTICAB","12-FEB-2024","14-FEB-2024","Rs.140 to Rs.147","19-FEB-2024"
"Entero Healthcare Solutions Limited","EQ","  1258","ENTERO","09-FEB-2024","13-FEB-2024","Rs.1195 to Rs.1258","16-FEB-2024"
"UGRO Capital Limited","NC","  1000","UGROCAP","08-FEB-2024","21-FEB-2024","Rs.1000","29-FEB-2024"
"Polysil Irrigation Systems Limited","SME","54","POLYSIL","08-FEB-2024","13-FEB-2024","Rs.54","16-FEB-2024"
"Alpex Solar Limited","SME","115","ALPEXSOLAR","08-FEB-2024","12-FEB-2024","Rs.109 to Rs.115","15-FEB-2024"
"Capital Small Finance Bank Limited","EQ","   468","CAPITALSFB","07-FEB-2024","09-FEB-2024","Rs.445 to Rs.468","14-FEB-2024"
"Jana Small Finance Bank Limited","EQ","   414","JSFB","07-FEB-2024","09-FEB-2024","Rs.393 to Rs.414","14-FEB-2024"
"Rashi Peripherals Limited","EQ","   311","RPTECH","07-FEB-2024","09-FEB-2024","Rs.295 to Rs.311","14-FEB-2024"
"Apeejay Surrendra Park Hotels Limited","EQ","   155","PARKHOTELS","05-FEB-2024","07-FEB-2024","Rs.147 to Rs.155","12-FEB-2024"
"Italian Edibles Limited","SME","68","ITALIANE","02-FEB-2024","07-FEB-2024","Rs.68","12-FEB-2024"
"BLS E- Services Limited","EQ","   135","BLSE","30-JAN-2024","01-FEB-2024","Rs.129 to Rs.135","06-FEB-2024"
"Baweja Studios Limited","SME","180","BAWEJA","29-JAN-2024","01-FEB-2024","Rs.170 to Rs.180","06-FEB-2024"
"Megatherm Induction Limited","SME","108","MEGATHERM","29-JAN-2024","31-JAN-2024","Rs.100 to Rs.108","05-FEB-2024"
"Docmode Health Technologies Limited","SME","79","DHTL","25-JAN-2024","30-JAN-2024","Rs.79","02-FEB-2024"
"Delaplex Limited","SME","192","DELAPLEX","25-JAN-2024","30-JAN-2024","Rs.186 to Rs.192","02-FEB-2024"
"Fonebox Retail Limited","SME","70","FONEBOX","25-JAN-2024","30-JAN-2024","Rs.66 to Rs.70","02-FEB-2024"
"Nova Agritech Limited","BE","    41","NOVAAGRI","23-JAN-2024","25-JAN-2024","Rs.39 to Rs.41","31-JAN-2024"
"EPACK Durable Limited","EQ","   230","EPACK","19-JAN-2024","24-JAN-2024","Rs.218 to Rs.230","30-JAN-2024"
"Cholamandalam Investment and Finance Company Limited","NX","######","9CIFL34","19-JAN-2024","25-JAN-2024","Rs.1000","06-JUN-2024"
"Konstelec Engineers Limited","SME","70","KONSTELEC","19-JAN-2024","24-JAN-2024","Rs.66 to Rs.70","30-JAN-2024"
"Addictive Learning Technology Limited","SME","140","LAWSIKHO","19-JAN-2024","24-JAN-2024","Rs.133 to Rs.140","30-JAN-2024"
"Medi Assist Healthcare Services Limited","EQ","   418","MEDIASSIST","15-JAN-2024","17-JAN-2024","Rs.397 to Rs.418","23-JAN-2024"
"Maxposure Limited","SME","33","MAXPOSURE","15-JAN-2024","17-JAN-2024","Rs.31 to Rs.33","23-JAN-2024"
"Australian Premium Solar (India) Limited","SME","54","APS","11-JAN-2024","15-JAN-2024","Rs.51 to Rs.54","18-JAN-2024"
"Jyoti CNC Automation Limited","EQ","   331","JYOTICNC","09-JAN-2024","11-JAN-2024","Rs.315 to Rs.331","16-JAN-2024"
"IBL Finance Limited","SME","51","IBLFL","09-JAN-2024","11-JAN-2024","Rs.51","16-JAN-2024"
"Kaushalya Logistics Limited","SME","75","KLL","29-DEC-2023","03-JAN-2024","Rs.71 to Rs.75","08-JAN-2024"
"Kay Cee Energy & Infra Limited","SME","54","KCEIL","28-DEC-2023","02-JAN-2024","Rs.51 to Rs.54","05-JAN-2024"
"Akanksha Power and Infrastructure Limited","SME","55","AKANKSHA","27-DEC-2023","29-DEC-2023","Rs.52 to Rs.55","03-JAN-2024"
"HRH Next Services Limited","SME","36","HRHNEXT","27-DEC-2023","29-DEC-2023","Rs.36","03-JAN-2024"
"Innova Captab Limited","EQ","   448","INNOVACAP","21-DEC-2023","26-DEC-2023","Rs.426 to Rs.448","29-DEC-2023"
"Sameera Agro and Infra Limited","SME","180","SAIFL","21-DEC-2023","27-DEC-2023","Rs.180","01-JAN-2024"
"Trident Techlabs Limited","SME","35","TECHLABS","21-DEC-2023","26-DEC-2023","Rs.33 to Rs.35","29-DEC-2023"
"Supreme Power Equipment Limited","SME","65","SUPREMEPWR","21-DEC-2023","26-DEC-2023","Rs.61 to Rs.65","29-DEC-2023"
"Indifra Limited","SME","65","INDIFRA","21-DEC-2023","26-DEC-2023","Rs.65","29-DEC-2023"
"Azad Engineering Limited","EQ","   524","AZAD","20-DEC-2023","22-DEC-2023","Rs.499 to Rs.524","28-DEC-2023"
"Happy Forging Limited","EQ","   850","HAPPYFORGE","19-DEC-2023","21-DEC-2023","Rs.808 to Rs.850","27-DEC-2023"
"Credo Brands Marketing Limited","EQ","   280","MUFTI","19-DEC-2023","21-DEC-2023","Rs.266 to Rs.280","27-DEC-2023"
"RBZ Jewellers Limited","BE","   100","RBZJEWEL","19-DEC-2023","21-DEC-2023","Rs.95 to Rs.100","27-DEC-2023"
"Electro Force (India) Limited","SME","93","EFORCE","19-DEC-2023","21-DEC-2023","Rs.93","27-DEC-2023"
"Muthoot Microfin Limited","EQ","   291","MUTHOOTMF","18-DEC-2023","20-DEC-2023","Rs.277 to Rs.291","26-DEC-2023"
"Suraj Estate Developers Limited","EQ","   360","SURAJEST","18-DEC-2023","20-DEC-2023","Rs.340 to Rs.360","26-DEC-2023"
"Motisons Jewellers Limited","BE","    55","MOTISONS","18-DEC-2023","20-DEC-2023","Rs.52 to Rs.55","26-DEC-2023"
"INOX India Limited","EQ","   660","INOXINDIA","14-DEC-2023","18-DEC-2023","Rs.627 to Rs.660","21-DEC-2023"
"Shree OSFM E-Mobility Limited","SME","65","SHREEOSFM","14-DEC-2023","18-DEC-2023","Rs.65","21-DEC-2023"
"DOMS Industries Limited","EQ","   790","DOMS","13-DEC-2023","15-DEC-2023","Rs.750 to Rs.790","20-DEC-2023"
"India Shelter Finance Corporation Limited","EQ","   493","INDIASHLTR","13-DEC-2023","15-DEC-2023","Rs.469 to Rs.493","20-DEC-2023"
"S J Logistics (India) Limited","SME","125","SJLOGISTIC","12-DEC-2023","14-DEC-2023","Rs.121 to Rs.125","19-DEC-2023"
"Presstonic Engineering Limited","SME","72","PRESSTONIC","11-DEC-2023","13-DEC-2023","Rs.72","18-DEC-2023"
"Accent Microcell Limited","SME","140","ACCENTMIC","08-DEC-2023","12-DEC-2023","Rs.133 to Rs.140","15-DEC-2023"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","07-DEC-2023","20-DEC-2023","Rs.1000","09-APR-2024"
"IIFL Samasta Finance Limited","N9","  1000","960IIFLS26","04-DEC-2023","15-DEC-2023","Rs.1000","25-JUN-2024"
"Sheetal Universal Limited","SME","70","SHEETAL","04-DEC-2023","06-DEC-2023","Rs.70","11-DEC-2023"
"Marinetrans India Limited","SME","26","MARINETRAN","30-NOV-2023","05-DEC-2023","Rs.26","08-DEC-2023"
"Net Avenue Technologies Limited","SME","18","CBAZAAR","30-NOV-2023","04-DEC-2023","Rs.16 to Rs.18","08-DEC-2023"
"Graphisads Limited","SME","111","GRAPHISAD","30-NOV-2023","05-DEC-2023","Rs.111","13-DEC-2023"
"Cholamandalam Investment and Finance Company Limited","NX","######","9CIFL34","28-NOV-2023","01-DEC-2023","Rs.1000","06-JUN-2024"
"Flair Writing Industries Limited","EQ","   304","FLAIR","22-NOV-2023","24-NOV-2023","Rs.288 to Rs.304","01-DEC-2023"
"Tata Technologies Limited","EQ","   500","TATATECH","22-NOV-2023","24-NOV-2023","Rs.475 to Rs.500","30-NOV-2023"
"Gandhar Oil Refinery (India) Limited","EQ","   169","GANDHAR","22-NOV-2023","24-NOV-2023","Rs.160 to Rs.169","30-NOV-2023"
"Fedbank Financial Services Limited","EQ","   140","FEDFINA","22-NOV-2023","24-NOV-2023","Rs.133 to Rs.140","30-NOV-2023"
"Rockingdeals Circular Economy Limited","SME","140","ROCKINGDCE","22-NOV-2023","24-NOV-2023","Rs.136 to Rs.140","30-NOV-2023"
"Indian Renewable Energy Development Agency Limited","ND","######","75IREDA34","21-NOV-2023","23-NOV-2023","Rs.30 to Rs.32","07-JUN-2024"
"ASK Automotive Limited","EQ","   282","ASKAUTOLTD","07-NOV-2023","09-NOV-2023","Rs.268 to Rs.282","15-NOV-2023"
"ROX Hi-Tech Limited","SME","83","ROXHITECH","07-NOV-2023","09-NOV-2023","Rs.80 to Rs.83","16-NOV-2023"
